;Date;Review;Rating
18;12/04/2023;"Au téléphone ils m ont ""offert"" des options (TV connect et débit plus) et un mois gratuit du fait que mes services fonctionnent mal (pas assez de débit pour avoir la tv)
Dans la réalité il m on facturé les options et le mois offerts... je me suis plaint au service client mais ils ne peuvent pas faire marche arrière
Ils proposent de m offrir le prochain mois alors que j arrive au bout de ma patience ( ce jour encore j ai passé 45 minutes avec tous les services Red by SFR)
et que je vais certainement revenir chez mon ancien opérateur... demandez une confirmation systématique par mail des ""gestes comerciaux"" car l engagement oral ne pas respecté...";1
19;24/04/2023;Pour demande de déménagement, le conseiller m’explique que je suis désagréable, dès que je refuse le démarchage pour un forfait téléphonique, alors que j’essaie seulement de changer ma ligne de domicile;1
20;13/04/2023;"RED ou l'escroquerie par excellence !
Mon contrat à 15 ans.
SFR veut me facturer alors que je suis étudiante, en stage obligatoire en Allemagne pour 6 mois. et de retour en France le 30 juin
Pourtant mon contrat prévoit l'utilisation de mon forfait à l'étranger.";1
21;04/04/2023;"Réseau en panne très régulièrement, avec une panne d'environ deux mois l'été dernier... Vraiment dommage car le débit en 4G dans mon secteur est excellent lorsque tout fonctionne. Il peut parfois même arriver que vous ne puissiez passer aucun appel.

Sans oublier le service client qui, après m'avoir promis une réduction sur mon forfait à 9.99€ (qui devait passer à 7.99€ car je suis chez SFR depuis plus de 10 ans), m'a finalement augmenté mon forfait de presque 1€...

En bref, à éviter si possible...";1
22;02/04/2023;Installation reportée car le technicien n'a pas de nacelle pour faire le raccordement aérien ! Une demie journée de perdue. Une semaine plus tard un autre technicien vient et fait l'installation sans nacelle avec une échelle ! Seconde demie journée. Débit plus que moyen a 50 Mo/s 🤭 Box 7 sans prise USB 🥴. Côté relation clients il vous faudra beaucoup de patience pour un service plutôt nul. Promis je cherche un meilleur fournisseur.;2
23;31/03/2023;Client RED by SFR depuis 3 ans, je me retrouve à devoir déménager à 500m de mon ancien logement. J'ai fait une demande de déménagement de ligne fibre (nouveau logement éligible). 1 mois après, Red by SFR n'a toujours pas été en mesure de fixer un rdv d'installation de la boxe, alors que j'habite Paris. Après 11 appels afin d'essayer d'obtenir un rdv (chaque fois on me promet de me rappeler sans le faire), j'ai décidé de jeter l'éponge. Manque de sérieux total, on me propose quelques gigas sur téléphone portable pour patienter... à fuir;1
24;18/04/2023;Bonjour très mal passée je reviendrai plus chez cette opérateur j’ai payé 2 fois de suite les mêmes factures 2 fois en plus qualité minable je déconseille totalement;1
25;16/04/2023;Des voleurs.. forfait illimité a vie 5 € qui est arrivé à 17 € en l'espace de 3 ans une augmentation de 3 € tous les ans sans aucune permission... un service client qui vous raccroche au nez et injoignable.. vous êtes pas prêt de me revoir SFR;1
26;23/03/2023;J'ai opté pour la fibre depuis quelques mois, installée par RedbySfr. Depuis ma qualité internet est moins bonne avec jusqu'à 10 coupures/jour. Le technicien n'a pas honoré le rendez-vous. Impossible d'en prendre un autre si je ne suis pas joignable au téléphone toute la journée, ce que mon travail ne permet pas. Aucune solution proposée. Je résilie ...;1
27;31/03/2023;A FUIR, service client et technique inexistant, qui relie des reponses sur l écran, et qui vous prennent pour des abrutis, dossier cloturer alors qu il n est pas resolu, dossier qui traine de long en large et qui vous fait perdre votre temps avec des RDV non honoré!!! De plus qualité reseau 4g 5g déplorable;1
28;21/03/2023;Incapable en 4 rdv de 5h de construction à attendre chez moi sans rien faire de construire ma ligne box. Maintenant 2 semaines à attendre pour être recontacte par un technicien pour seulement organiser un prochain rdv. Ne parlons pas du service client par téléphone parfaitement incapable mal poli faisant durer volontairement l´appel et ne raccrochant pas pour ne pas pouvoir évaluer la médiocrité de ces ****** !;1
29;07/04/2023;"Je prends un abonnement + achat d'un téléphone pour SFR RED 200 GO; la ligne est opérationnelle le 18/03/23 après réception du matériel et carte Sim. Tout fonctionne bien. Le 20/03/23 plus de communication ni sortante ni entrante. SFR a coupé le ligne arbitrairement sans prévenir pour motif de problème lié a la sureté et le réclame des documents déjà fourni(RIB, Justificatif domicile, mail de confirmation sfr ouverture de ligne et pièce identité). Ce qui est inadmissible: couper une ligne sans prévenir ni demander des éventuels documents manquants. Cette coupure de ligne met en danger des personnes vivants ds une région isolée. C est un procédé de voyous.";1
30;18/04/2023;"A fuir!!!
Des grooos mythos, ils vous promettent pleins de trucs sur le coup pour vous garder mais une fois qu’on passe aux choses sérieuses ils vous répondent « on ne peut rien faire ».
J’ai deménagé il y a 4 mois dans un nouveau lotissement où la fibre n’etait pas encore installé et vu que j’avais un abonnement fibre j’ai appelé pour savoir comment on allait faire. Elle m’a promis une solutions temporaire et qu’une fois qu’il y aura la fibre que je ne payerais ps de frais d’ouverture et que j’aurais a nouveau mon ancien compte. Et la ils me demandent de payer des frais d’ouverture lol!
Vous avez perdu un client! Aurevoir";1
31;01/03/2023;"Red SFR a fuir... aucun service client par telephone personne pour vous aider. Tres decu en plus il donne des options et puis sans mail ni courrier de leurs part il la supprime et me facture derriere. Je trouve leurs manière de faire est scandaleuse et on fait comprendre que je suis fautif car je dois chercher une info cacher depuis mon compte client... Supprimer une option et la faire facturer à ses clients de cette manière ce n'est pas professionnel. Chez Shosh un texto est envoyé systématiquement pour tout hors forfait de plus 50 euros car ils sont responsable alors que chez Red j'ai reçu leurs texto qu'apres 215 euros de hors forfait.  Le fait de prendre leurs clients de haut sans trouver d'arrangement après plusieurs tchat (pa de telephone pour les avoirs) est une honte. Sans gestes de leurs part je suis contraint de mettre fin a tout leurs abonnements (abonnements Fibre SFR de chez moi celui de la fibre Red de chez mes parents ainsi que mes trois abonnements mobile Red (le mien, celui de mon épouse et de ma mere) et le forfait mobile SFR de mon père).
J'ai toujours fait la promotion de SFR a mon entourage mais leurs mépris et leurs manière de faire vont leurs couter cher sur le long terme...
SFR a bien changé et la partie RED avec sa hotline délocaliser en Afrique est une honte.....
Une dernière information j'ai demandé maintes fois de parler à un responsable mais leurs service on toujours refusait alors que c'est mon droit comme client d'avoirs le responsable dans une hotline";1
32;12/03/2023;"Ne jamais souscrire à cet opérateur !
INSTALLATION FIBRE NON CONFORME (angles à 90° du câblage, prise murale non fixée au mur, colle UHU pour fixer l'ensemble).
LEUR RÉPONSE : pour mettre à jour votre installation vous devez payer un technicien à 150 €...
ÉCHANGES AVEC LE SAV CATASTROPHIQUES : RDV téléphoniques non respectés, difficultés à s'exprimer et à comprendre le français, raccrochent ou ne répondent pas, etc.";1
33;18/03/2023;"Pourquoi l'offre de prix à 6;99 est facturée 9Euros ? Comment avoir une réponse ! Service client nul toujours les mêmes réponses qui ne correspond jamais au questions que vous poser augmentation des abonnements a leur Guise même si vous leur dites non !";1
34;09/03/2023;"service complétement médiocre, au début de votre forfait on le boost, mais quelque temps après on le restreint un max ce qui donne une connectivité internet des plus médiocre que j'ai jamais connus, des factures au montants incompréhensible qui dépasse largement le prix de base, aller comprendre pourquoi.
un conseil fuyait loin de cette operateur mais très loin.";1
35;27/02/2023;"J'ajoute mon petit grain de sel à cette montagne d'avis négatif.

Commande réalisée le 16/03 sur leur site pour un forfait 5G avec téléphone et reprise de mon ancien.

Le 17/03 au matin, réception d'un SMS indiquant que ma commande est refusée sans plus d'explications.

Service client injoignable pour les non clients. Je vais en boutique SFR pour avoir des explications, je me fais méchamment envoyer bouler.

Bref je décide d'aller chez Orange, certes plus cher mais dont le service client est à la hauteur.";1
36;15/03/2023;"Une grosse galère pour faire un simple changement de titulaire sur une ligne existante, via le site RED. Rejet 3 fois de suite au bout de 7j sans explication plausible. Contact par chat uniquement avec des conseillers incompétents qui ne savent pas pourquoi la demande est rejetée, et qui vous renvoient au site ou à faire un courrier à SFR. Le service client RED s'est fortement inspiré du sketch ""Sens interdit"" de Raymond Devos, pour traiter les demandes.
Malgré des tarifs compétitifs, ils sont à mille lieux d'égaler le service client SOSH";1
37;20/02/2023;"À FUIR!
J'ai souscrit un abonnement à Red by Sfr en février 2023 pour ADSL, Internet et service TV, la connexion n'est pas fiable, le service clients est inexistant, ils peuvent pas contacter par téléphone ses propres clients, impossible de lire et voir les factures, on m'a prélevé plus en disant que j'ai souscrit à quelque chose alors que ce n'est pas le cas.
Ils ne répondent pas à mes mails.
À FUIR!
C'EST LA HONTE QUE UNE SOCIÉTÉ COMME SFR ne répond pas et ne puisse pas rappeler ses clients.
Comme c'est possible que avec tout ces avis négatifs Red by Sfr continue en toute impunité?
Je vais résilier mais comme j'ai pût lire dans d'autres avis, Red by Sfr ne rembourse pas.
C'est une vraie arnaque!";1
38;25/03/2023;"Service client deplorable.
Après plusieurs minutes à essayer d'avoir un details de facture et un ""prorata"" suite à un changement de forfait la personne n'a jamais su expliqué correctement si ce n'est que dire que la facture est correcte..
Elle a fini par mettre fin à la conversation sans attendre réponse de ma part.";1
39;15/02/2023;"Nouvel épisode de la série Je-m'abonne-à-la-BOX-SFR.
Nous sommes le 15 soit juste 2 mois après avoir souscrit à l'Offre box SFR. J'appelle ou je tchat quotidiennement avec le service clientèle qui n'est toujours pas en mesure de me donner un rdv pour installer et raccorder ma ligne. Notre entreprise travaille sans internet alors que c'est le seul outil nécessaire. Cette fois l'opérateur, qui appelle avec 45 min de retard, me propose d'annuler ma commande et d'en passer une autre (tout recommencer depuis le début).... Tiens tiens tiens ... 2 mois.... c'est justement le délai légal dans lequel le FAI doit impérativement avoir effectué le raccordement. Au delà il est susceptible d'avoir des problèmes juridiques et comme par hasard on me propose ce jour là d'annuler et recommencer la procédure .... Est-ce que cette histoire de dingue finirait par me rendre parano ????";1
40;28/02/2023;problèmes de débit et coupures intempestives du réseau internet depuis l'installation de la box (4 mois). Chatbot pour résoudre le problème qui tourne en rond. Quand par miracle on arrive à rentrer en contact avec un technicien, il s'agit d'un call center à l'étranger, qui n'arrive à rien résoudre. Au dernier appel, mon interlocuteur m'a raccroché au nez. Lamentable;1
41;26/03/2023;"Service client inexistant qui vous ballotte de services en services pour esquiver la demande. « On dépose un dossier à notre responsable » par contre derrière il n’y a pas de suites. Lamentable.

Le vendeur au téléphone m’a garanti une baisse de prix sur deux forfaits mobile déjà existants chez eux. Or ce changement n’a jamais été fait et je me retrouve avec une box adsl qui fonctionne très mal !

Fuyez n’allez pas chez Red !";1
42;11/02/2023;Augmentation du forfait box internet pour des raisons illégales. Impossibilité d'instaurer un véritable échange. N'hésitez pas à signaler cet abus au code du consommateur sur Signal Conso sur le site du Ministère de l'Economie pour que l'on soit tous respectés en tant que consommateurs. Pour ma part je viens de le faire, si nous nous unissons, nous serons sans doute plus écoutés.;1
43;31/03/2023;"J'ai mis 1 étoile parce qu'il n'ya pas ZERO !!!!

ZERO pointé sur tout ! Aucun geste commercial alors que le service n'est pas fonctionnel depuis 2 mois, je paie pour ne rien avoir, c'est génial, non ? AUCUN service par contre les facturations sont bien fonctionnelles ! Service client déplorable, aucun réponse apportée... A fuir, vraiment je DÉCONSEILLE !!!!";1
44;24/03/2023;"Pratiques frauduleuses.

Pour un voyage, j'ai souscris à une option internationale (US&Canada) à 5€ par mois, le 09/03 veille de mon départ.

A mon retour le 23/03 j'ai eu la surprise d'être débitée de 7€, car au renouvellement de mon forfait le 21/03 (pendant mon voyage) l'option avait été reconduite. On me la facture donc pour les 12 jours du du 09/03 au 21/03 + 1 mois jusqu'au 21/04.

Après contact du service client, on m'explique que la prochaine fois je n'ai qu'à caler mes dates d'option sur mon renouvellement de forfait ! Car biensur je pose mes vacances en fonction de mon renouvellement de forfait téléphone c'est bien connu. Aucun remboursement du trop payé possible.

Je suis cliente RED depuis plusieurs années et je n'avais jamais eu de problème auparavant, l'option était bien souscrite pour 1 mois à compter de l'activation, peu importe la date de renouvellement de forfait.

Fuyez RED qui ne récompense pas des clients fidèles et n'hésite pas à les arnaquer";1
45;27/03/2023;Service client incompétent !!! Nous avons eux deux technicien qui sont venu pour rien car nous avons internet mais non il faut reprendre une troisième journée de congé car il faut qu un autre technicien reviennent pour rien encore bien sûr nous avons péter un plomb nous demandons résiliation bam le matin plus internet il sont pas besoin de technicien pour sa !! Quand nous avons eu le service client la personne s en fou totalement elle ne veut rien savoir elle nous demande de nous débrouiller !! Vraiment n'y aller pas ces scandaleu;1
46;22/03/2023;"J'ai contracté un abo pour la fibre chez Red, avec une option 1 Giga. Au début, tout allait bien. Puis les choses se sont dégradées, jusqu'à ne même plus pouvoir regarder la TV, ou Netfix, donc je les ai contactés. Depuis 1 mois, je le fais quasi tous les jours, sans aucun résultat, après des dizaines d'heures à faire des tests au téléphone avec le SAV, toujours les mêmes, deux passages de techniciens (dont un qui n'est jamais venu mais a tout de même fait un rapport !!) : ils vous précisent que 1 Giga est le débit commercial, mais qu'en réalité il ne vous garantissent que 30% de cela. Dans la vraie vie, je n'ai que 120, 150 .... En wifi, j'atteins difficilement 46. On obtient timidement 230 avec le technicien, en éteignant tout, et en se branchant directement sur la box. Il m'a même été conseillé de formater mon ordinateur, pour que cela fonctionne mieux !!! La dernière option qu'ils me proposent : un abo plus cher ;-) Ben voyons !";1
47;14/04/2023;"Au mois de février, un démarcheur, M. Sadou MANE nous as contacté afin que l'on passe notre Box internet + forfaits mobile chez Red by SFR.
Il nous a proposé une BOX internet et vendu 2 forfaits mobiles à 10€ chaque.
Surprise, nous avons reçus en février et mars des factures de 16.99€ pour chaun de nos forfaits mobile au lieu de 10€ convenu par téléphone.
J'ai passé mon temps à contacter les services clients, fidélisation, résiliation verdict : on ne peux rien faire cette offre n'existe pas. C'est un scandale ! On nous vend un produit qui n'existe pas et on ne peux plus rien faire ? C'est une vraie arnaque. J'ai demandé à faire réécouter ma conversation téléphonique, mais personne ne prends en compte ma demande. Impossible de joindre un responsable. Un scandale !";1
48;06/03/2023;On m'a coupé internet sans prévenir et sans aucune justification pendant 1 semaine !!! J'ai jamais vu ça de ma vie !!! Internet qu'apparemment je récupère soit demain soit à partir du 03/04 !!!;1
49;24/03/2023;"Installation de la fibre dans notre appartement :
Nous avons rencontré un total de 5 techniciens différents. Les 4 premiers n'ont pas réussi à se connecter en raison du bâtiment, soit. Cependant, tous avaient validé notre demande pour l'intérieur du logement (chemin que nous leur avons indiqué, etc.).

La pose finale a eu lieu aujourd'hui et c'est un fiasco du début à la fin. Le câble ne passe pas par les endroits demandés en raison d'une réglementation dont aucun des QUATRE techniciens précédents ne nous avait parlé, le câblage est loin d'être propre et, pour couronner le tout, RED SFR a tout simplement annulé notre commande dans la nuit !

Nous nous retrouvons donc avec un câble mal installé qui ne va pas à sa destination et sans box au bout ! Et lorsque nous avons appelé le standard, on nous a répondu que c'est NOUS qui avons annulé la commande CETTE NUIT à 3H DU MATIN ! La commande ne pourra être repassée avant 24 à 72 heures, évidemment, sinon ce n'est pas drôle.

Nous considérons cette situation comme inadmissible et il est inacceptable que nous devions attendre 24 à 72 heures avant de pouvoir repasser une commande.";1
50;10/01/2023;Pour ce qui est de prélever sur les comptes il n'y a aucun problème , mais pour les contacter c'est totalement impossible , ils ont même supprimé la possibilité de converser avec un conseiller par mail interposé !!!, Fuyez et surtout de traitez jamais rien avec eux !!! , Quand il s'agit de résilier un contrat par exemple , tout est fait pour que ce soit pratiquement impossible et je sais de quoi je parle , j'ai mis pratiquement une journée pour y arriver , galère maximum assurée !!!!;1
51;19/03/2023;"Augmentation du prix des forfaits sans information ni consultation
Red by SFR se permet des augmentations comme bon leurs sembles.
Fidèle client depuis plus de 10 ans, mon forfait a plus que doubler.
J'ai résilié mon abonnement pour aller chez La poste malheureusement toujours sur le réseau SFR....
Le service client est inexistant, un chat bot en guise de conseiller.
SFR veut faire un max de profit avec un minimum de service avec ses clients fidèles.";1
52;10/01/2023;"L'offre RED fibre jusqu'à 500Mb/s de mars 2023 est en réalité du 300Mb/s Max c'est écrit dans mon contrat visible dans l'espace client ... Donc mensongère !
Le service client dit que c'est jusqu'à 500 avec une marge de 30%, donc max 350Mb/s ce n'est pas non plus 300 Max !
Ce qui est écrit n'est pas important me dit-on.
A ce débit on trouve mieux ailleurs.";2
53;07/02/2023;J'avais souscrit un forfait de 10€/mois à vie. Ils viennent de l'augmenter. J'ai réclamé plusieurs fois. Ils m'ont juste expliqué que c'était leur politique tarifaire et que je pouvais résilier si cela ne me convenait pas. Juste malhonnête. Encore une arnaque de SFR RED.;1
54;13/02/2023;"nulllllll
je n ai plus d internet depuis 1 mois
après une dizaine d appels, on m a changé la box
toujours rien ...
programmation d 'une intervention
le technicien signe qu 'il a résolu le pb , qu 'il est passé chez moi : il a même fait en faux en écriture en signant à ma place sur le compte rendu d 'intervention";1
55;26/03/2023;Red augmente le prix de votre forfait (dont le réseau est médiocre en plus! qui était censé être à vie sans vous demander votre avis, vous impose constamment les frais de leurs prétendues évolutions type 5G alors qu'on n'en veut pas, et maintenant augmente ENCORE le tarif à cause de l'inflation LOL!! Sachant que leur groupe a encore fait des bénèfs records en 2022, gros arnaque permanente chez ces escrocs, et service client nullissime, virtuel, rien d'humain là-dedans. Mon forfait a augmenté de presque 50% en quelques mois.;1
56;29/01/2023;Minable! Et encore je suis gentil. Impossible de recevoir et d'envoyer un SMS. Impossible de joindre un conseillé car il faut passer par des informations en ligne, informations qui ne servent absolument à rien. N'espérez pas trouver de l'aide auprès des conseillers SFR dans une boutique car ils vous envoient sur les roses car vous n'êtes pas client chez-eux. Je viens de prendre un forfait chez RED by SFR il y a 8 jours... Je retourne chez mon ancien fournisseur. Au moins je vais avoir un forfait qui fonctionne et la possibilité d'avoir un vrai conseillé en ligne en cas de problème.;1
57;25/01/2023;"Avec redbysfr, votre forfait augmentera sans préavis... sans vous prévenir d'ailleurs. Vous aurez le plaisir de le découvrir sur votre facture. Lorsque vous aurez la chance d'échanger avec leur robot conversationnel, vous aurez comme réponse : ""Nous augmentons nos tarifs puisque nous devons faire face aussi à des augmentations"". Fort bien mais ceci ne vous dispense pas d'informer vos clients ! Allez bye redbysfr, vous n' êtes d ailleurs plus les mieux placés en rapport qualité/prix !";1
58;15/12/2022;Cet opérateur subit une vague de réclamation qu'ils taisent concernant des SMS frauduleux a hauteur de 40cts jusqu'à atteindre des surfacturations de plus de 30€ et leur seul réponse est de nous demander de nous débrouiller a chercher puis enlever une soit disant application parmi toutes celles que contient un smartphone sans plus de précisions. Après des menaces et un rappel aux lois j'ai obtenu un remboursement MAIS le mois suivant il s'est reproduit la même chose et le service client clôture la conversation sans apporter de solution ou sans me laisser finir notre échange. CEST SIMPLE... je suis partie chez la concurrence DIRECT;1
59;26/01/2023;"VOLEURS :
RED a passé mon débit (établi par contrat) de 20 à 8 sans m'en tenir au courant. Loin d'obtenir une compensation, le prix a augmenté ! (cette fameuse augmentation que seul l'opérateur RED a décidé, contrairement à TOUS les autres opérateurs.) La totale !!
MENTEURS :
De plus, vu qu'ils ont eux-mêmes cassé mon contrat, ils m'ont affirmé que je n'aurais pas de frais de résiliation : FAUX !!! Je viens de recevoir la facture. Quand je leur demande l'enregistrement de cette conversation ""c'est impossible"" (je cite) ! Visiblement, cela ne fonctionne que quand ça les arrange.
J'ai mis fin à mon abonnement ADSL et je vais faire de même avec le forfait mobile : on peut trouver moins cher ailleurs très facilement.";1
60;18/03/2023;"RED by SFR.

Je suis client de cette société SFR depuis longtemps : RED by SFR, mais depuis quelques mois, rien ne va plus, le service client est bien en dessous de ce qu’il devrait être. Le dernier appel que j’ai fait s’est mal termine et ma demande n’a pas été réglée. On a au bout du fil des personnes bien souvent incompétentes ou qu’ils n’écoutent pas ce qu’on leur dit. Mes problèmes n’ont jamais été réglés, et j’ai même fortement pensé à changer de fournisseur. De plus, depuis quelques mois, la rapidité des connections internet laisse à désirer, et ils veulent nous vendre la fibre !
Je suis éligible a la fibre, mais quand je vois comment cela a été installé (installateurs qui n’ont pas beaucoup de compétences et qui font un travail pas acceptable !) C’est le prochain scandale qui se prépare. MERCI SFR meme 1 etoile c'est trop !!!!";1
